configName      Platooning
iniFile         omnetpp.ini
processID       3871
runID           Platooning-0-20191231-13:24:17-3871
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-12-31 13:24:17.716
endDateTime     2019-12-31 13:24:33.716
duration        0 hour, 0 minute, 15 second


index          timestamp      vehId          pltMode        pltId          pltDepth       pltSize        pltOptSize     pltMaxSize     
74             2.60           veh            3              veh            0              3              4              10             
74             2.60           veh.1          3              veh            1              -              -              -              
74             2.60           veh.2          3              veh            2              -              -              -              

75             2.60           veh1           3              veh1           0              4              4              10             
75             2.60           veh1.1         3              veh1           1              -              -              -              
75             2.60           veh1.2         3              veh1           2              -              -              -              
75             2.60           veh1.3         3              veh1           3              -              -              -              

76             2.60           veh1.4         3              veh1.4         0              2              4              10             
76             2.60           veh1.5         3              veh1.4         1              -              -              -              

77             2.70           veh            3              veh            0              3              4              10             
77             2.70           veh.1          3              veh            1              -              -              -              
77             2.70           veh.2          3              veh            2              -              -              -              

78             2.70           veh1           3              veh1           0              4              4              10             
78             2.70           veh1.1         3              veh1           1              -              -              -              
78             2.70           veh1.2         3              veh1           2              -              -              -              
78             2.70           veh1.3         3              veh1           3              -              -              -              

79             2.70           veh1.4         3              veh1.4         0              2              4              10             
79             2.70           veh1.5         3              veh1.4         1              -              -              -              

80             2.80           veh            3              veh            0              3              4              10             
80             2.80           veh.1          3              veh            1              -              -              -              
80             2.80           veh.2          3              veh            2              -              -              -              

81             2.80           veh1           3              veh1           0              4              4              10             
81             2.80           veh1.1         3              veh1           1              -              -              -              
81             2.80           veh1.2         3              veh1           2              -              -              -              
81             2.80           veh1.3         3              veh1           3              -              -              -              

82             2.80           veh1.4         3              veh1.4         0              2              4              10             
82             2.80           veh1.5         3              veh1.4         1              -              -              -              

83             2.90           veh            3              veh            0              3              4              10             
83             2.90           veh.1          3              veh            1              -              -              -              
83             2.90           veh.2          3              veh            2              -              -              -              

84             2.90           veh1           3              veh1           0              4              4              10             
84             2.90           veh1.1         3              veh1           1              -              -              -              
84             2.90           veh1.2         3              veh1           2              -              -              -              
84             2.90           veh1.3         3              veh1           3              -              -              -              

85             2.90           veh1.4         3              veh1.4         0              2              4              10             
85             2.90           veh1.5         3              veh1.4         1              -              -              -              

86             3.00           veh            3              veh            0              3              4              10             
86             3.00           veh.1          3              veh            1              -              -              -              
86             3.00           veh.2          3              veh            2              -              -              -              

87             3.00           veh1           3              veh1           0              4              4              10             
87             3.00           veh1.1         3              veh1           1              -              -              -              
87             3.00           veh1.2         3              veh1           2              -              -              -              
87             3.00           veh1.3         3              veh1           3              -              -              -              

88             3.00           veh1.4         3              veh1.4         0              2              4              10             
88             3.00           veh1.5         3              veh1.4         1              -              -              -              

89             3.10           veh            3              veh            0              3              4              10             
89             3.10           veh.1          3              veh            1              -              -              -              
89             3.10           veh.2          3              veh            2              -              -              -              

90             3.10           veh1           3              veh1           0              4              4              10             
90             3.10           veh1.1         3              veh1           1              -              -              -              
90             3.10           veh1.2         3              veh1           2              -              -              -              
90             3.10           veh1.3         3              veh1           3              -              -              -              

91             3.10           veh1.4         3              veh1.4         0              2              4              10             
91             3.10           veh1.5         3              veh1.4         1              -              -              -              

92             3.20           veh            3              veh            0              3              4              10             
92             3.20           veh.1          3              veh            1              -              -              -              
92             3.20           veh.2          3              veh            2              -              -              -              

93             3.20           veh1           3              veh1           0              4              4              10             
93             3.20           veh1.1         3              veh1           1              -              -              -              
93             3.20           veh1.2         3              veh1           2              -              -              -              
93             3.20           veh1.3         3              veh1           3              -              -              -              

94             3.20           veh1.4         3              veh1.4         0              2              4              10             
94             3.20           veh1.5         3              veh1.4         1              -              -              -              

95             3.30           veh            3              veh            0              3              4              10             
95             3.30           veh.1          3              veh            1              -              -              -              
95             3.30           veh.2          3              veh            2              -              -              -              

96             3.30           veh1           3              veh1           0              4              4              10             
96             3.30           veh1.1         3              veh1           1              -              -              -              
96             3.30           veh1.2         3              veh1           2              -              -              -              
96             3.30           veh1.3         3              veh1           3              -              -              -              

97             3.30           veh1.4         3              veh1.4         0              2              4              10             
97             3.30           veh1.5         3              veh1.4         1              -              -              -              

98             3.40           veh            3              veh            0              3              4              10             
98             3.40           veh.1          3              veh            1              -              -              -              
98             3.40           veh.2          3              veh            2              -              -              -              

99             3.40           veh1           3              veh1           0              4              4              10             
99             3.40           veh1.1         3              veh1           1              -              -              -              
99             3.40           veh1.2         3              veh1           2              -              -              -              
99             3.40           veh1.3         3              veh1           3              -              -              -              

100            3.40           veh1.4         3              veh1.4         0              2              4              10             
100            3.40           veh1.5         3              veh1.4         1              -              -              -              

101            3.50           veh            3              veh            0              3              4              10             
101            3.50           veh.1          3              veh            1              -              -              -              
101            3.50           veh.2          3              veh            2              -              -              -              

102            3.50           veh1           3              veh1           0              4              4              10             
102            3.50           veh1.1         3              veh1           1              -              -              -              
102            3.50           veh1.2         3              veh1           2              -              -              -              
102            3.50           veh1.3         3              veh1           3              -              -              -              

103            3.50           veh1.4         3              veh1.4         0              2              4              10             
103            3.50           veh1.5         3              veh1.4         1              -              -              -              

104            3.60           veh            3              veh            0              3              4              10             
104            3.60           veh.1          3              veh            1              -              -              -              
104            3.60           veh.2          3              veh            2              -              -              -              

105            3.60           veh1           3              veh1           0              4              4              10             
105            3.60           veh1.1         3              veh1           1              -              -              -              
105            3.60           veh1.2         3              veh1           2              -              -              -              
105            3.60           veh1.3         3              veh1           3              -              -              -              

106            3.60           veh1.4         3              veh1.4         0              2              4              10             
106            3.60           veh1.5         3              veh1.4         1              -              -              -              

107            3.70           veh            3              veh            0              3              4              10             
107            3.70           veh.1          3              veh            1              -              -              -              
107            3.70           veh.2          3              veh            2              -              -              -              

108            3.70           veh1           3              veh1           0              4              4              10             
108            3.70           veh1.1         3              veh1           1              -              -              -              
108            3.70           veh1.2         3              veh1           2              -              -              -              
108            3.70           veh1.3         3              veh1           3              -              -              -              

109            3.70           veh1.4         3              veh1.4         0              2              4              10             
109            3.70           veh1.5         3              veh1.4         1              -              -              -              
